text,political_inclination
RT @WhiteHouse: https://t.co/FIJbvCYGJ6,conservative
"RT @EricTrump: Never thought I would have 150,000 people sing me happy birthday on the National Mall in Washington D.C! https://t.co/XXNW9p…",conservative
"HAPPY BIRTHDAY, @EricTrump!! ♥️ https://t.co/e1MFvfzdIJ",conservative
"RT @CawthornforNC: This is why I am OBJECTING to the 2020 election results.

The right to vote in a free and fair election is the cornersto…",conservative
"RT @RealDrGina: “Since @YouTube decided to censor #TheRightView this week, @RealAmVoice will running it as often as we possibly can and re-…",conservative
"RT @IvankaTrump: All eyes are on Georgia. Excited to join @KLoeffler and @Perduesenate tomorrow. Join us!!

Walton County: https://t.co/IOj…",conservative
"Glad you finally figured out “what that means”, @jaketapper https://t.co/abGAFW7igU https://t.co/miQRkcdIi9",conservative
RT @JustTheNews: JUST IN: Lara Trump To @DavidBrodyCBN on the 2020 Election fight: “We are going to lose our constitutional republic. The f…,conservative
"Wow, very nice! Thank you! 🇺🇸 https://t.co/atgZW87cOj",conservative
"Imagine flipping a coin 4,645,908 times &amp; getting heads 52% of the time — then, at 3AM, you flip it 154,000 times &amp; it’s 100% tails — that’s Michigan.",conservative
"RT @EricTrump: Every Christmas, our office collects holiday presents for @ToysForTots_USA to deliver love and happiness to less fortunate c…",conservative
🚨 ATTENTION GEORGIA: Today is your LAST DAY to register to vote in the GA Senate runoff election — make sure you are registered and make sure you VOTE! Check your registration here 👇🏽https://t.co/d7HkEGiQvy,conservative
"Thank you, @newtgingrich! https://t.co/HVncGhKrCU",conservative
RT @kelliwardaz: The 2020 election was #NonTransparent by force. #Bullying to cheat. #StopTheSteal https://t.co/qgF0lpJfkJ,conservative
"I don’t know who needs to hear this but, legitimate ballots do not come packed in a suitcase.",conservative
Thanks @gregkellyusa 🇺🇸💯 https://t.co/ZB9zq338aD,conservative
RT @ScottBaio: THIS!!! 🤔👇 https://t.co/wJDbGajBrw,conservative
RT @parscale: #MAGA,conservative
AMAZING!!! 🇺🇸🇺🇸🇺🇸 https://t.co/gmTWGphsfr,conservative
What could possibly go wrong with these Dominion voting machines??? 🤯🚨 https://t.co/JbZc5jk18i,conservative
RT @DanScavino: https://t.co/gKnkgTl3Ci,conservative
"RT @ScottBaio: Fun times at Michael’s 

Trump 

Is

Still

Your

President 

🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸

God bless President Trump and God…",conservative
"How it started, how it’s going 🥰 #HappyAnniversary @EricTrump ♥️ 11.08.14 https://t.co/i5Npc5FAyP",conservative
Another new number 👇🏽 To those who have spammed our other numbers: it’s shameful that you don’t think it’s important to have integrity in our elections. It’s fundamental to our republic. Keep spamming. We will keep changing the number. 🇺🇸 https://t.co/ILPJrqG42D,conservative
"RT @EricTrump: Does anyone believe that Biden, a candidate who had a tough time filing a room, got 8.89 million more votes than Obama 2012?…",conservative
RT @Mike_Pence: I Stand With President @realDonaldTrump. We must count every LEGAL vote.,conservative
"RT @JasonMillerinDC: Going through the data in Pennsylvania and seeing statistically impossible returns in precinct after precinct.

Democr…",conservative
RT @EricTrump: .@LindseyGrahamSC is a good man! Thank you for having spine! Fight this fraud!,conservative
RT @parscale: If you want to win in 2024 as a Republican. I would probably start saying something. Just saying.,conservative
"RT @KatrinaPierson: The Campaign ⁦@BlackVoices4DJT⁩ &amp; @GOP had unprecedented voter engagement/outreach in Detroit, ATL, Philly, etc...

Fro…",conservative
"RT @KatrinaPierson: BREAKING: @realdonaldTrump Won Highest Share of Non-White Vote of Any Republican Since 1960.

Congratulations @TeamTrum…",conservative
"RT @Harlan: Wisconsin voter turnout by year:

2000 - 67.01%
2004 - 73.24%
2008 - 69.20%
2012 - 70.14%
2016 - 67.34%
2020 - 89.25%

TOTALLY…",conservative
"RT @ScottPresler: Arizonans, 

please use this website to check the status of your ballot: 

https://t.co/eOIDoriV6d

If your ballot was to…",conservative
"RT @SunshineSt8Sam: BREAKING: Michigan

Per Antrim clerk's office, they are reviewing their county numbers and said there are discrepancies…",conservative
RT @EricTrump: We will win Arizona! The @FoxNews call was horrible...,conservative
"RT @dougducey: It’s far too early to call the election in Arizona. Election Day votes are not fully reported, and we haven’t even started t…",conservative
RT @KellyannePolls: #Arizona ⬇️,conservative
"RT @KLF: HOLD THE LINE.
STAY IN LINE. 
KEEP THE FAITH. 
#4MoreYears",conservative
Back the blue! 💙 https://t.co/8LSbOmosyq,conservative
Excited to be spending my last day on the campaign trail in the great state of #Florida!!! 🇺🇸 Make sure you have a plan to vote for @realDonaldTrump ready for tomorrow — we have all the info here 👇🏽 https://t.co/WlTrhGtshg,conservative
RT @KatrinaPierson: ICYMI: What many Americans may not know is that there is a large group of Black Americans working on President Donald T…,conservative
"THIS is why @realDonaldTrump has to win by such a YUGE margin of victory — to counteract fraud, like this. GET OUT AND VOTE!!! https://t.co/qrfABWhMZA",conservative
"We are FOUR days away from FOUR MORE YEARS of @realDonaldTrump!!!!
 
But, this isn’t over until we secure that win — it’s imperative that we keep fighting! Click 👇 https://t.co/m9Pv4hrcXq",conservative
"We love you, @IvankaTrump!!! HAPPY BIRTHDAY!!! 🎂♥️ https://t.co/iN3YDpaTdF",conservative
"RT @LilTunechi: Just had a great meeting with @realdonaldtrump @potus besides what he’s done so far with criminal reform, the platinum plan…",conservative
RT @EricTrump: Amazing! 🇺🇸🇺🇸🇺🇸 https://t.co/fFym9PLk2h,conservative
It’s time to TURN #NEVADA RED!!! Find out where to vote (&amp; vote EARLY) near you below 👇🏽 https://t.co/WlTrhGtshg,conservative
"RT @KLF: 🚨 BIG: @EricTrump just knocked on the ONE MILLIONTH door today in Nevada for President @realDonaldTrump! 

@TeamTrump’s ground gam…",conservative
"RT @JennaEllisEsq: I mean..... 
 https://t.co/UdnPQoAAtM",conservative
🇺🇸🇺🇸🇺🇸 https://t.co/kYzQ0fOZRT,conservative
"ARIZONA.
 
THIS. IS. IT.
 
Get out &amp; Vote Early for @realDonaldTrump, @Mike_Pence, &amp; all Republicans on the ballot. Let’s WIN this BIG LEAGUE on Nov 3rd! 🇺🇸
 
Follow the link below to find your polling place in #AZ. #MAGA https://t.co/WlTrhGtshg",conservative
RT @EricTrump: So proud to cast another two votes!  @realDonaldTrump has been the most incredible father and mentor and I could not be more…,conservative
"RT @EricTrump: The final homestretch (just this week with more to come)!

📍@realDonaldTrump: PA, MI, WI, NE, AZ

📍@EricTrump: AZ, NV, OH, M…",conservative
"RT @KatrinaPierson: Y’all remember that time that Barack Obama, this first black President along with Joe Biden, tackled the main issues th…",conservative
"Last week he thought he was running against Abraham Lincoln, I guess this week he thinks he’s running against George Washington 😳 https://t.co/k8i7yXdoxK",conservative
"Rest In Peace, Ricky — thank you for your service 🙏🏽 https://t.co/w4MO3QoCPp",conservative
RT @EricTrump: The media is desperately trying to distract from Biden alleged criminal activity. It’s quite simple: When my father became P…,conservative
"Wow. The media have really shown their hand. This is incredible and historic news, yet, you’ll probably never hear about it because they are 100% in the bag to try and prop up Biden. https://t.co/51qbW9PQZa",conservative
I campaigned more for high school homecoming court than Joe Biden is to become President of the United States. #14Days,conservative
RT @KatrinaPierson: I guess 50 cent don’t want to end up 20 cent. 🇺🇸,conservative
RT @RichardGrenell: A Must Watch!,conservative
"Thank you, @gregkellyusa  — 15 DAYS TO GO!!! 🇺🇸💯 https://t.co/FBDFdQzVoa",conservative
"RT @EricTrump: Not calling “a lid” - here is #TeamTrumps travel schedule over the next 48 hours! #WorkEthic 

📍@realDonaldTrump: AZ, PA, &amp;…",conservative
RT @IvankaTrump: Love it!,conservative
"That’s nice, @K8brannen  - I’m a senior advisor to the President’s campaign but, yes, also, @EricTrump’s wife. https://t.co/oqqjNN97CB",conservative
RT @EricTrump: A must watch...  https://t.co/j1eWX5layf,conservative
Hey #NorthCarolina!! Early voting started TODAY!!! Find out where you can vote for @realDonaldTrump here 👉🏽 https://t.co/WxSz0PIICb https://t.co/UnUxW2wNFO,conservative
"RT @PressSec: Censorship should be condemned!

cc: @Twitter &amp; Facebook

NOT the American way‼️ 🇺🇸",conservative
Posting again because it’s absurd that this occurred in the United States of America https://t.co/PEQGjUWrKr,conservative
"To those on the Left who love to preach about rights being taken away — please understand that unless you are one of the “elite” at the top, they’re coming for your rights too.

Stop and think about that before you keep shrieking about free speech and the 2nd Amendment.",conservative
"If your Representative thinks AR stands for “Assault Rifle”, FIRE THEM!",conservative
"250+ BIG donors are telling Republican Senators to back Pelosi’s gun control bills. 

People, it is time to make some calls to your Senators and make your voices heard!

We the people cannot let those at the top silence our voice!",conservative
"Biden trusts Ukraine with guns.

He trusts the Taliban with guns.

He trusts the Mexican drug cartels with guns.

Why doesn’t he trust law-abiding Americans with guns?",conservative
10% workload for the Big Guy. It’s not a holiday weekend but Joe is off the clock. https://t.co/R9tbuSG5SS,conservative
"Pray as if it all depends on God. 

Live as if it all depends on you.",conservative
"Disingenuous Dems keep asking why anybody needs an AR-15.

Ask Kyle Rittenhouse why he’s alive today and then get back to me.",conservative
"While you cancel your summer vacation due to high gas prices, Joe Biden is on vacation at his Delaware beach house.

Ready for the mean tweets to come back yet?",conservative
Always fun to hang out with Pueblo patriots! https://t.co/4zrVekFPbf,conservative
"Biden couldn't even get back the guns that he left in Afghanistan, so how does he intend to come and take ours?",conservative
"The same Democrats who think 18-year-olds can serve in the military but are too immature to buy guns also want 16-year-olds to vote and 6-years-old to be able to identify as the opposite gender.

Make it make sense.",conservative
"Joe Biden’s unconstitutional speech on gun control was filled with so many ill-informed Leftist talking points.

Let me make one thing clear - the Second Amendment IS NOT GOING AWAY!",conservative
"The Del Rio Sector Border Patrol agents caught nearly 4,000 migrants over the Memorial Day Weekend. 

More than 1,600 migrants avoided apprehension and made their way into the United States.

Make no mistake, this is not a “humanitarian effort”, it’s a full-scale invasion!",conservative
"Democrats one month ago: “Give your money to Ukraine! They need guns!”

Democrats today: “None of you American peasants may own a gun.”",conservative
Even Amber Heard can’t catch Captain Jack Sparrow.,conservative
"Most predators prefer defenseless victims, so no surprise here. https://t.co/ycyI2Otea8",conservative
"It's always a great time to visit the Talbott's https://t.co/EtXwOjFMfw in Palisade. 

We miss you, Harry! https://t.co/6tllijRyaG",conservative
"Fun time at the demolition derby.

AOC won’t debate and won’t meet to work on legislative solutions.

Maybe she should meet me here instead. 

I hear she wants to get rid of her Tesla anyway… https://t.co/qzuY1NqozZ",conservative
"Hillary Clinton and all of her scumbag associates should be rotting in jail and this should have happened years ago.

There is a two-tiered justice system in DC and it seems she and her ilk are immune.",conservative
"I don’t care if the Democrats call it “gun control”, “gun regulation” or anything else… it is unconstitutional by any name.",conservative
"Want to know Joe Biden’s ultimate goal?

Just look north to Canada’s Soy Minister, Justin Trudeau.

They are on the path of “regulating” guns, which means their end goal is that NONE are allowed.",conservative
"A North Carolina preschool is using LGBT flag flashcards with a pregnant man to teach kids colors.

We went from Reading Rainbow to Randy Rainbow in a few decades, but don’t dare say the Left is grooming our kids!",conservative
"When the Founding Fathers wrote the Second Amendment, they had just finished a war to liberate themselves from tyranny.

They didn't just get back from a hunting trip. 

This is about your freedom.",conservative
"Remember the 13 soldiers lost in Afghanistan.

For 13 families, this is their first Memorial Day with that heavy loss weighing on them.

May God bless those families!",conservative
"Today we remember everyone who laid down their life for this great nation.

Your sacrifice to keep America free is never forgotten.",conservative
"This Memorial Day weekend, remember not to drink and drive. 

Save a life, call an Uber.

@SpeakerPelosi",conservative
You know the American education system is in trouble when teachers are praised for talking about their sex life but are fired if they dare utter the name of God.,conservative
"I had a great time in Wyoming last night spreading the message of what we can achieve when we fight for freedom!

Thanks for having me, President Trump! https://t.co/HNaZ0YhL3U",conservative
"Will the news share this story far and wide? 

Doubtful, as it proves exactly the point they don't want to make. https://t.co/yqObHXsiJ8",conservative
"I love this &amp; would love to see more of this!

We need to do everything we can to keep our children &amp; their teachers safe. 

https://t.co/IB2yPrs0sd",conservative
"RT @DesiJCuellar: America, I’m your best shot at getting @AOC out of office in 2022.

I’m a Cuban-American who was born in NY-14 and I’m NO…",conservative
"For Joe Biden, high gas prices are the point.

When fuel is high it makes his “green” initiatives seem more appealing.

Wake up, America!

That’s why Biden doesn’t want us energy independent.",conservative
"There is no bottom to the depravity and insanity of the radical left.

Please understand what we are up against and act accordingly.

You cannot reason with people who hate the very fact that you exist.",conservative
RT @RepThomasMassie: Nikki Goeser of @CrimeResearch1 and I just released this OpEd on Red Flag laws because Red flag laws will do more harm…,conservative
"It is Beta, actually, @TIME. You almost got it right. https://t.co/pJ6E4jXZsE",conservative
"One of the most disgraceful statements of all time.

Comparing the tragic death of young children to Floyd’s death is meant for no other reason other than to illicit outrage.

Obama should be ashamed. https://t.co/JHfjSGYy1c",conservative
"In 2018, Andrew Abdullah pleaded guilty to weapons charges.

He was released on bail.

JUST LAST WEEK he shot and killed a man on the NY subway.

If Democrats REALLY cared about stopping violence, they would prosecute criminals, not let them go free.",conservative
Beto is a chump.,conservative
The Mayor of Uvalde is right. Beto is a “sick son of a bitch.”,conservative
"Robert Francis O’Rourke storming a press conference meant to discuss a tragedy to push his doomed candidacy is disqualifying.

Such a disgraceful twerp. 

Get the heck out of here preying on childrens’ graves.

I never thought I could have even less respect for him. Pathetic!",conservative
"Using the “Affordable Care Act” to pay for illegal aliens’ healthcare is not only wrong, it’s illegal. 

My colleagues and I are fighting back. https://t.co/u0ltsRn7Xl",conservative
"Ms. Defund the Police,

Gun Free Zones have proven to be deadly. 

Let me know when you’re ready to do your job and effectively protect our schools with armed security. 

Let’s meet and solve this. https://t.co/W88H8vEynx",conservative
"Nancy Pelosi had no problem bussing in 25,000 armed troops to protect her with AR-15s in an empty, locked down city. 

At a minimum, our schools can have certified armed teachers to protect our children from deranged maniacs who wish to do them harm.",conservative
"RT @DLoesch: Not a single politician is asking:

1) How did this murderer get into the school? 
2) What security did this school have and h…",conservative
You cannot legislate away evil.,conservative
So basically the Biden economic strategy is to deplete American resources and then buy everything from the countries who hate us.,conservative
"Proud to have had a sneak peek at @AlexEpstein’s new book.

Fossil fuels are not a thing of the past, they are the future! https://t.co/uaNkXQQ6wC https://t.co/e7QLdAMz4z",conservative
"As you would expect, I am among the MOST TARGETED conservatives today.

The Left knows that when WE take back the House I'll be leading the way for the America First agenda.

I need YOUR help to make that happen! Please contribute to our campaign below:

https://t.co/ORFn5nQFsl",conservative
Shall I bring a booster in case Little Adam shows up? https://t.co/OCdDBNRHG0,conservative
"They never get tired of utterly dishonest and insane statements.

It’s all they’ve got and they know it. https://t.co/crW1HWkv34",conservative
"When we talk about the worst Vice President, they are the worst of the Vice Presidents. https://t.co/suEgFv0i7e",conservative
"RT @ArashMosaleh: The haters are coming for @laurenboebert.  Colorado, don’t be fooled by the out-of-state RINOs who stand for nothing but…",conservative
"Hillary Clinton’s Russia-Trump narrative disgraced the FBI, humiliated the press, and sent the country on a 3-year investigation to nowhere. 

Our adversaries only wish they could do as much disinformation damage.",conservative
"Just because the Disinformation Governance Board is ""paused"" (for now), that doesn't mean your government doesn't spy on you anymore.

The NSA is still around.",conservative
Everything woke turns to… https://t.co/khzyHC7voE,conservative
"Klaus Schwab: ""The future is being built by us.""

Take it from me, you don’t want to be a part of ANY FUTURE designed by the WEF - because globalism isn’t about YOU, it’s about THEM CONTROLLING YOU.",conservative
The price of gas is higher than Hunter when he started snorting the Parmesan… and these prices are only getting higher.,conservative
"Oh, Joe… inflation ain’t a strength, hon. 

Glad to see you are finally admitting that your failed policies caused it to skyrocket. https://t.co/gGJRiAbQZF",conservative
"No one quite knows what is going to be in the WHO Treaty, but unless it abolishes the WHO, I don’t want any part of it.",conservative
RT @chiproytx: The WHO is a problem (thus my bill of January 2021 to defund it - HR419).  But consider the possibility the REAL problems ar…,conservative
"On Armed Forces Day, know that I stand with the incredible men &amp; women who serve our great country.

May God bless you today and always!",conservative
"RT @FoxNews: 'DISCONNECTED FROM REALITY': @laurenboebert says anyone who claims men can get pregnant is a 'lying, dog-faced pony soldier.'…",conservative
"We’ve got just about a month until the GOP primary in Colorado!

The Democrats are playing all kinds of tricks to try to knock us out before the general - I need you to help me fight back!

Donate today to my re-election campaign!

https://t.co/ORFn5nQFsl",conservative
"RT @CableNewsWatch: 📺 @UnfilteredOnFox with @dbongino 
9pm ET  @FoxNews 

@marklevinshow 
@laurenboebert 
@MattWhitaker46 
Morgan Wright…",conservative
"The American people are fed up with the status quo failures who ask for our votes and do nothing in return. 

We’re living in a new political age and I’m here for it.",conservative
"The Archbishop of San Francisco has announced that Nancy Pelosi will be denied the Holy Eucharist.

She’s likely more concerned about not being able to drink the Communion wine.",conservative
"A federal judge has just BLOCKED Biden &amp; his regime from ending Title 42!

The past sixteen months have been the best lesson ever for why we need a strong, Constitutional judiciary.",conservative
"Hillary Clinton personally approved leaking the Trump-Russia hoax. 

There’s only one way for justice to be served: https://t.co/OhZcn0c3HN",conservative
"It took @ElonMusk barely 24 hours of becoming a Republican for him to be Me Too'd.

Do you see the way they play this game now?",conservative
Children are not property of the State.,conservative
"Virginia 5, vote for a fearless conservative! 
Vote @GoodForCongress! https://t.co/TftQMigG5g",conservative
"More con games from Nancy Pelosi -- this time with baby formula. 

It never stops with Pelosi, even when our nation's babies are put at risk because of their failures. https://t.co/bu7uWqAgpp",conservative
"When President Trump wanted to spend $25 billion to build a wall to protect America, Democrats said no.

Now that Ukraine needs to protect it’s borders, Congress sends them $40 billion. 

America First!",conservative
"The national average for REGULAR gas is now at $4.59/gallon - another all time record for gas prices. 

JP Morgan says it could reach as high at $6 a gallon by August!

“No mean tweets” has become pretty expensive, hasn’t it?",conservative
"Turnout for the GOP so far in the primaries increased by 38% from 2018, while Democrat turnout is up just 3%.

The people are moving in the direction that BEST represents their values AND their wallets. 

Welcome!",conservative
"Throughout his presidency, Joe Biden has never told a lie.

Only his teleprompter has lied.

President Ron Burgundy.",conservative
@JudiciaryGOP Powerful!,conservative
"So I guess men can have an opinion on abortion after all.

Thanks for clearing that up. https://t.co/HLMnZnDu6d",conservative
"Senator Lummis spoke TRUTH.

A biological fact is not a point of controversy. 

Trust the science, libs.",conservative
"Nina Jankowicz is a perfect example of what third-wave feminism can do to a person.

Stay “safe” on your journey to power &amp; fame.",conservative
"@elonmusk Welcome to the right side, Elon!",conservative
"Even with the Ministry of Truth on hold, we need to haul Mayorkas in front of Congress and begin impeachment proceedings. 

He isn’t off the hook.

We can give no reprieve in this fight against wannabe authoritarians.",conservative
@elonmusk Same. 🤓,conservative
"When we put pressure on this administration, they fold like a house of cards.

The so-called Disinformation Governance Board is done.

Hopefully Nina figures out another way to get famous. Watch out for that!",conservative
".@ElonMusk says he will be voting Republican for the first time in his life the next time he votes.

Elon is not alone. It’s nearly impossible to stand by and vote for today’s radical Democrat Party.

Welcome, Elon!",conservative
"Private Jet John Kerry wants us to transition to a net-zero economy.

He’ll get us to net zero GDP very soon if he gets his way.",conservative
"So now the term woman is too old school for Michelle Obama and she’s decided to start using “womxn”.

Yes, really.

They’re erasing women right before our eyes!",conservative
"So the BLM founder paid her baby’s daddy nearly a MILLION dollars for “creative services”.

I’d be impressed, but @Ilhan paid her husband’s (not the brother one, the other one) firm nearly $3 MILLION. 

The entire Democrat party is a grift.",conservative
"Anyone else consider that these companies suddenly offering to pay for employee abortions are doing so just to avoid paying for maternity leave?

Cheaper to kill the baby... true evil personified.",conservative
RT @DineshDSouza: By popular demand “2000 Mules” is back in theaters. Over 400 theaters have announced 4 showings a day starting Friday May…,conservative
"Just imagine what the inflation rate would be if Build Back Better would have passed.

It would probably be higher than Biden’s failed approval rating.",conservative
"Joy-less, we know you hate America. Go back to your sex strike. https://t.co/fS3ui2tolo",conservative
"If you take an oath to serve the American people, that doesn’t include selling yourself to the World Economic Forum.

America First means caring for the people of America, not trying to appease the rest of the world.",conservative
RT @WinningTeamPub: NEW BOOK ALERT: CRIME OF THE CENTURY by President Donald J. Trump! More details coming soon at https://t.co/Lqe3uPvyQ5…,conservative
"It is official.

Liberals in power support killing a baby on the day of birth. https://t.co/cvdUoKrZbV",conservative
"The only entity that can cause the inflation we’re seeing now is the government.

Don’t let Biden try to blame corporations, they don’t have the money printer.",conservative
Does the Left apply the same standards to fathers who abandon their children because it’s not a convenient time in their lives to have children as they do to mothers who end their babies’ lives in the womb for similar reasons?,conservative
"President Trump has been out of the White House for seventeen months now and in that time our country has become a disaster.

The fact they still have the audacity to blame him for everything lets you know that those in power, too, are aware.",conservative
"Jen Psaki said yesterday she hopes she “followed the example of integrity and grace.”

She did not. Good riddance.",conservative
"RT @DanaLoeschRadio: ""Perhaps it's from all the men who are becoming pregnant and can not lactate on their own""

@laurenboebert reacts to @…",conservative
"“They want me back so badly, but I'm not going back because we have the TRUTH on our side.” 

🔥🔥🔥 https://t.co/GT1GhGPbyc",conservative
"102 Georgia Counties Can’t Produce Drop Box Videos, Video MISSING for 181,507 Cast Ballots -- in Election Called by 11,779 Votes

https://t.co/6w8sblBOLP",conservative
"""If you overwhelm the system, we can WIN.""

Vote David Perdue! https://t.co/N2zWXmTIHq",conservative
"RT @realLizUSA: Brian Kemp knew there was fraud, and did nothing about it!

Vote for @DavidPerdueGA! https://t.co/S1GJCD4NcX",conservative
"RT @realLizUSA: Brian Kemp says he led the fight to investigate voter fraud.

In reality, he led the fight to COVER UP the voter fraud.

Vo…",conservative
RT @AKA_RealDirty: .@realLizUSA says NBC is trying to suppress the vote in Georgia. https://t.co/StKRFA1f7o,conservative
"ICYMI: Truth from President Donald J. Trump on David Perdue and Georgia

https://t.co/NnGq4nhIWO",conservative
RT @AKA_RealDirty: .@realLizUSA says NBC is trying to suppress the vote in Georgia. What they put out is textbook fake news. Maga needs to…,conservative
https://t.co/8JkaTttehS https://t.co/p9Q9yI9XG2,conservative
https://t.co/wPn7fOd89c,conservative
"In fact, it’s available now!

https://t.co/jYiSYzJuZe",conservative
"I will soon no longer be posting on Twitter. This is a terrible website that is beyond fixing.

TRUTH will soon be available to everyone when its web application launches. 

Be sure to follow me there @realLizUSA 🇺🇸 https://t.co/snZ79Ym3Rv",conservative
"By popular demand… #2000mules is coming back to theaters on May 20th! 

Everyone needs to see this movie and keep the momentum going, they can’t cover this up! 

Go to https://t.co/wrZCXaQMpo to find a theater near you",conservative
RT @ChrisStigall: Catch my talk with Donald Trump this morning! ⬇️ https://t.co/utyyNWoegj,conservative
"President Trump is live with @ChrisStigall NOW. Tune in!

https://t.co/CqVVyHSrgs",conservative
RT @ChrisStigall: Tomorrow morning - 8:20am ET - President Trump joins us live on Philadelphia's AM 990 The Answer. #paprimary  https://t.c…,conservative
"10% of ballot mules identified by True the Vote also participated in violent riots of 2020

That’s not a coincidence. https://t.co/zeAltMu0mA",conservative
"Gregg Phillips says illegal vote trafficking is very deep and widespread, involving BILLIONS and powerful foundations behind Barack Obama and Stacey Abrams

“As eye opening as the movie is, we know so much more...this is really just the beginning.” 

#2000mules https://t.co/HFBWS552tG",conservative
"Obama Affiliated NGOs Poured Billions to Steal Elections

https://t.co/bytU5LacFF",conservative
RT @StephenM: Awaiting their free bus ride into the United States and then on to the city of their choosing. https://t.co/joZvsRtaUo,conservative
"RT @JohnGordonForAG: Thank you to The Georgia Record for their endorsement of my Candidacy for Attorney General of Georgia! 
https://t.co/B…",conservative
"🍿🍿🍿

https://t.co/wFoF4WY0aI",conservative
RT @WinningTeamPub: NEW BOOK ALERT: CRIME OF THE CENTURY by President Donald J. Trump! More details coming soon at https://t.co/Lqe3uPvyQ5…,conservative
RT @dougmastriano: 🇺🇸Thank you President Trump! https://t.co/3jPW07HM9B,conservative
"RT @LifeNewsHQ: Doctors Told Mom 4 Times to Abort Disabled Baby Girl Who Wouldn’t Survive, She Was Born Healthy https://t.co/hA10S3v3H5 htt…",conservative
"RT @AdamLaxalt: THREAD 🧵 

Nevadans didn’t send Senator @CortezMasto to DC to ship $40B of your tax dollars towards another foreign war whi…",conservative
RT @dougmastriano: https://t.co/rtN9FIcvoz,conservative
"President Trump discusses just a few examples of the massive election fraud in 2020 -- like 100 PERCENT turnout in Wisconsin nursing homes 

The evidence is overwhelming! https://t.co/bokHKUjn4t",conservative
"President Trump has endorsed incredible candidates who will Drain the Swamp in Georgia!

Vote:

@DavidPerdueGA 
@HerschelWalker 
@JodyHice 
@JohnGordonForAG 
@burtjonesforga 
@JakeEvansGA 
@patrickjwitt https://t.co/GAKrc5O2qD",conservative
"“John Gordon is an incredible guy, who’s a really really successful guy and attorney and he knows how to win.”

Vote for @JohnGordonForAG for Georgia Attorney General! https://t.co/XFjV6iVDYO",conservative
"NEW!

President Donald J. Trump announces his Endorsement of Kevin Kiley https://t.co/9Alr5kBAAn",conservative
"NEW!

President Donald J. Trump announces his Endorsement of Congressman Russ Fulcher https://t.co/SCDjgMnl14",conservative
"NEW!

President Donald J. Trump announces his Endorsement of Congressman Dan Bishop https://t.co/FWKgbvSxjt",conservative
"NEW!

President Donald J. Trump announces his Endorsement of Congressman Patrick McHenry https://t.co/vETWOxtCdh",conservative
"NEW!

President Donald J. Trump announces his Endorsement of Congressman Richard Hudson https://t.co/D3FItdXiTr",conservative
“The fact is we have to straighten out our elections. Our elections are like a third world country.” https://t.co/1SIArzWBl8,conservative
"NEW!

President Donald J. Trump announces his Endorsement of Congressman David Rouzer https://t.co/H3D7tuaSDf",conservative
"NEW!

President Donald J. Trump announces his Endorsement of Doug Mastriano for Governor of Pennsylvania https://t.co/HrGKVKb7BY",conservative
RT @KariLake: Do I have to go plant Ukrainian flags at our border with Mexico to get American politicians to care about the invasion happen…,conservative
"RT @RealAmVoice: “Herschel’s going to be a winner.”

President Donald Trump joins @jfradioshow and talks about the “tremendous” campaign be…",conservative
RT @RealAmVoice: President Trump on his endorsed #MAGA candidates in the Georgia primary: “I think we’re going to do REALLY well.” #Electio…,conservative
RT @RealAmVoice: President Trump on @DineshDSouza’s new film #2000Mules exposing the 2020 ballot trafficking and the importance of having s…,conservative
"ICYMI: ""Alan Dershowitz to Newsmax: Letitia James 'Undignified,' 'Disgrace' to Law""

https://t.co/lNbNG9faG6 https://t.co/FNGe9KuYYb",conservative
"ICYMI: ""Trump: America Never Felt 'So Low, So Dejected'""

https://t.co/p8g0ArJVoy https://t.co/evfZQAzZMh",conservative
literally cannot get nutrition for their newborns and infants is a mark of eternal shame on the Democrat Party. America First!”,conservative
"that in the year 2022 American families are unable to get baby formulas for their children. Families whose children have serious allergies and require ""elemental"" formula are in even more desperate and dire straits. The pain that mothers and fathers are going through who…",conservative
"NEW!

President Donald J. Trump:

“The Democrats are sending another $40 billion to Ukraine, yet America's parents are struggling to even feed their children. There is a massive formula shortage, but no one is talking about it—it is a national disgrace. It is unthinkable… https://t.co/BIA3emGaL5",conservative
“Our elections are like a Third World country” - President Donald J. Trump,conservative
"President Trump is coming up live at the Real Georgia Speaks bus tour! Tune in! Vote David Perdue 🇺🇸 @RealAmVoice 

https://t.co/om2VqnxrKx",conservative
"RT @jfradioshow: Where you at?  All y’all need to be at Chastain Horse Park NOW🇺🇸 4371 Powers Ferry Rd NW, Atlanta to hear President Trump…",conservative
"RT @TakeBackGA: ‼️ DON’T MISS THIS! Tonight, at 5:00PM A special screening of #2000Mules with @mschlapp, @MattWhitaker46, @LynnePatton, and…",conservative
RT @RealAmVoice: .@realLizUSA gives her take on the state of the Georgia Gubernatorial Primary: “The grassroots are energized. They are sic…,conservative
This man is a sociopath https://t.co/Uj3sKVdOKS,conservative
"“True The Vote did what the government failed to do.”

#2000mules https://t.co/RxhnMksnB8",conservative
RT @RealAnita926: I just watched 2000 Mules and  I feel sick to my stomach. What they did to Trump and his supporters is unforgivable 😡,conservative
"The guy who can’t even leave his house without hearing “Let’s go Brandon” got the most votes in history?

That’s the Big Lie https://t.co/gBmbYXWLlU",conservative
